equipo,dorsal,posicion,nombre,fecha de nacimiento (edad),nacionalidad,valor de mercado
FC Barcelona,1,Portero,Marc-André ter Stegen,30/04/1992 (26),Alemania,"80,00 mill. €  "
FC Barcelona,13,Portero,Jasper Cillessen,22/04/1989 (29),Países Bajos,"18,00 mill. €  "
FC Barcelona,23,Defensa central,Samuel Umtiti,14/11/1993 (25),Francia,"70,00 mill. €  "
FC Barcelona,15,Defensa central,Clément Lenglet,17/06/1995 (23),Francia,"50,00 mill. €  "
FC Barcelona,3,Defensa central,Gerard Piqué,02/02/1987 (32),España,"40,00 mill. €  "
FC Barcelona,17,Defensa central,Jeison Murillo,27/05/1992 (26),Colombia,"15,00 mill. €  "
FC Barcelona,6,Defensa central,Jean-Clair Todibo,30/12/1999 (19),Francia,"8,00 mill. €  "
FC Barcelona,24,Defensa central,Thomas Vermaelen,14/11/1985 (33),Bélgica,"3,00 mill. €  "
FC Barcelona,18,Lateral izquierdo,Jordi Alba,21/03/1989 (30),España,"70,00 mill. €  "
FC Barcelona,20,Lateral derecho,Sergi Roberto,07/02/1992 (27),España,"55,00 mill. €  "
FC Barcelona,2,Lateral derecho,Nélson Semedo,16/11/1993 (25),Portugal,"40,00 mill. €  "
FC Barcelona,5,Pivote,Sergio Busquets,16/07/1988 (30),España,"75,00 mill. €  "
FC Barcelona,8,Medio centro,Arthur,12/08/1996 (22),Brasil,"60,00 mill. €  "
FC Barcelona,4,Medio centro,Ivan Rakitic,10/03/1988 (31),Croacia,"50,00 mill. €  "
FC Barcelona,21,Medio centro,Carles Aleñà,05/01/1998 (21),España,"25,00 mill. €  "
FC Barcelona,22,Medio centro,Arturo Vidal,22/05/1987 (31),Chile,"18,00 mill. €  "
FC Barcelona,12,Medio centro,Rafinha,12/02/1993 (26),Brasil,"15,00 mill. €  "
FC Barcelona,7,Medio centro ofensivo,Philippe Coutinho,12/06/1992 (26),Brasil,"100,00 mill. €  "
FC Barcelona,11,Extremo izquierdo,Ousmane Dembélé,15/05/1997 (21),Francia,"120,00 mill. €  "
FC Barcelona,10,Extremo derecho,Lionel Messi,24/06/1987 (31),Argentina,"160,00 mill. €  "
FC Barcelona,14,Extremo derecho,Malcom,26/02/1997 (22),Brasil,"40,00 mill. €  "
FC Barcelona,9,Delantero centro,Luis Suárez,24/01/1987 (32),Uruguay,"60,00 mill. €  "
FC Barcelona,19,Delantero centro,Kevin-Prince Boateng,06/03/1987 (32),Ghana,"8,00 mill. €  "
Real Madrid CF,25,Portero,Thibaut Courtois,11/05/1992 (26),Bélgica,"65,00 mill. €  "
Real Madrid CF,1,Portero,Keylor Navas,15/12/1986 (32),Costa Rica,"12,00 mill. €  "
Real Madrid CF,30,Portero,Luca Zidane,13/05/1998 (20),Francia,300 miles €  
Real Madrid CF,5,Defensa central,Raphaël Varane,25/04/1993 (25),Francia,"80,00 mill. €  "
Real Madrid CF,4,Defensa central,Sergio Ramos,30/03/1986 (33),España,"30,00 mill. €  "
Real Madrid CF,6,Defensa central,Nacho,18/01/1990 (29),España,"30,00 mill. €  "
Real Madrid CF,3,Defensa central,Jesús Vallejo,05/01/1997 (22),España,"10,00 mill. €  "
Real Madrid CF,12,Lateral izquierdo,Marcelo,12/05/1988 (30),Brasil,"35,00 mill. €  "
Real Madrid CF,23,Lateral izquierdo,Sergio Reguilón,16/12/1996 (22),España,"15,00 mill. €  "
Real Madrid CF,2,Lateral derecho,Daniel Carvajal,11/01/1992 (27),España,"60,00 mill. €  "
Real Madrid CF,19,Lateral derecho,Álvaro Odriozola,14/12/1995 (23),España,"30,00 mill. €  "
Real Madrid CF,14,Pivote,Casemiro,23/02/1992 (27),Brasil,"70,00 mill. €  "
Real Madrid CF,18,Pivote,Marcos Llorente,30/01/1995 (24),España,"15,00 mill. €  "
Real Madrid CF,8,Medio centro,Toni Kroos,04/01/1990 (29),Alemania,"80,00 mill. €  "
Real Madrid CF,10,Medio centro,Luka Modric,09/09/1985 (33),Croacia,"25,00 mill. €  "
Real Madrid CF,24,Medio centro,Dani Ceballos,07/08/1996 (22),España,"20,00 mill. €  "
Real Madrid CF,15,Medio centro,Federico Valverde,22/07/1998 (20),Uruguay,"6,00 mill. €  "
Real Madrid CF,22,Medio centro ofensivo,Isco,21/04/1992 (26),España,"60,00 mill. €  "
Real Madrid CF,21,Medio centro ofensivo,Brahim Díaz,03/08/1999 (19),España,"17,00 mill. €  "
Real Madrid CF,20,Extremo izquierdo,Marco Asensio,21/01/1996 (23),España,"80,00 mill. €  "
Real Madrid CF,28,Extremo izquierdo,Vinícius Júnior,12/07/2000 (18),Brasil,"70,00 mill. €  "
Real Madrid CF,11,Extremo derecho,Gareth Bale,16/07/1989 (29),Gales,"70,00 mill. €  "
Real Madrid CF,17,Extremo derecho,Lucas Vázquez,01/07/1991 (27),España,"25,00 mill. €  "
Real Madrid CF,9,Delantero centro,Karim Benzema,19/12/1987 (31),Francia,"40,00 mill. €  "
Real Madrid CF,7,Delantero centro,Mariano Díaz,01/08/1993 (25),República Dominicana,"20,00 mill. €  "
Atlético de Madrid,13,Portero,Jan Oblak,07/01/1993 (26),Eslovenia,"80,00 mill. €  "
Atlético de Madrid,1,Portero,Antonio Adán,13/05/1987 (31),España,"2,00 mill. €  "
Atlético de Madrid,21,Defensa central,Lucas Hernández,14/02/1996 (23),Francia,"70,00 mill. €  "
Atlético de Madrid,24,Defensa central,José Giménez,20/01/1995 (24),Uruguay,"70,00 mill. €  "
Atlético de Madrid,15,Defensa central,Stefan Savic,08/01/1991 (28),Montenegro,"40,00 mill. €  "
Atlético de Madrid,2,Defensa central,Diego Godín,16/02/1986 (33),Uruguay,"25,00 mill. €  "
Atlético de Madrid,35,Defensa central,Francisco Montero,14/01/1999 (20),España,"5,00 mill. €  "
Atlético de Madrid,18,Defensa central,Nehuén Pérez,24/06/2000 (18),Argentina,"2,50 mill. €  "
Atlético de Madrid,3,Lateral izquierdo,Filipe Luís,09/08/1985 (33),Brasil,"5,00 mill. €  "
Atlético de Madrid,4,Lateral derecho,Santiago Arias,13/01/1992 (27),Colombia,"20,00 mill. €  "
Atlético de Madrid,20,Lateral derecho,Juanfran,09/01/1985 (34),España,"3,50 mill. €  "
Atlético de Madrid,14,Pivote,Rodrigo,22/06/1996 (22),España,"60,00 mill. €  "
Atlético de Madrid,5,Pivote,Thomas,13/06/1993 (25),Ghana,"50,00 mill. €  "
Atlético de Madrid,8,Medio centro,Saúl Ñíguez,21/11/1994 (24),España,"90,00 mill. €  "
Atlético de Madrid,6,Medio centro,Koke,08/01/1992 (27),España,"70,00 mill. €  "
Atlético de Madrid,11,Extremo izquierdo,Thomas Lemar,12/11/1995 (23),Francia,"50,00 mill. €  "
Atlético de Madrid,23,Extremo izquierdo,Vitolo,02/11/1989 (29),España,"20,00 mill. €  "
Atlético de Madrid,10,Extremo derecho,Ángel Correa,09/03/1995 (24),Argentina,"35,00 mill. €  "
Atlético de Madrid,7,Delantero centro,Antoine Griezmann,21/03/1991 (28),Francia,"150,00 mill. €  "
